ID;Zona Urbana/Rural;Usuário;Você tem título de eleitor e vota em Itaíba?;Em qual localidade você mora?;Sexo;Idade;Escolaridade;Renda da Família;Vamos começar a pesquisa. Por favor, reflita. Neste ano, 2024, terá eleição para Prefeitura de Itaíba. Você já tem candidato?;Se sim, quem?;Considerando opções, se os candidatos forem estes, em quem você votaria?;E, considerando estas diferentes opções, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;Na sua opinião, qual seria o candidato a vice-prefeito ideal para Rogéria Martins?;Mudando de assunto. Na sua opinião, a Prefeita de Itaíba, Regina da Saúde, está realizando uma administração:;5 ̊) De um modo geral, você aprova ou desaprova a gestão da Prefeita de Itaíba, Regina da Saúde?;Em relação ao Governo Estadual, a governadora Raquel Lyra, está realizando uma administração:;Em relação ao Governo Federal, o presidente Lula, está realizando uma administração:;Agora, sobre as dificuldades do dia a dia, na sua opinião, qual é o principal problema de Itaíba?;Agora, avalie cada área do município entre ótimo, bom, regular, ruim ou péssimo: Saúde;Educação;Segurança;Limpeza;Calçamento/Estradas;Iluminação Pública;Assistência Social/Ação Social;Transporte (Carro da Saúde/Escolar);Lazer (Festas, Incentivo a Cultura, Esportes);Agricultura (Apoio ao Produtor Rural);Abastecimento de Água;Na sua opinião, qual obra ou ação você gostaria que fosse realizada pelo próximo prefeito(a) de Itaíba?;Ainda sobre política, reflita. Qual o vereador mais atuante/que mais trabalha por Itaíba?;Para cada um desses nomes, diga se VOTARIA COM CERTEZA, PODERIA VOTAR, NÃO VOTARIA DE JEITO NENHUM ou NÃO CONHECE O SUFICIENTE PARA OPINAR: Rogéria Martins;Pedro Pilota;Valdo do Pipa;Por último, reflita. Você votaria num candidato(a) apoiado pela atual prefeita Regina da Saúde?
117;Zona Urbana;agatha ;Sim;Centro;Feminino;34 a 44 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Cintia da Loja;Ruim;Desaprova;Ruim;Ruim;Infraestrutura;Bom;Regular;Regular;Regular;Péssimo;Péssimo;Ruim;Bom;Péssimo;Ruim;Péssimo;Investir mais em saneamento;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
118;Zona Urbana;agatha ;Sim;Centro;Masculino;25 a 34 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Cintia da Loja;Ruim;Desaprova;Ruim;Péssima;Infraestrutura;Regular;Regular;Regular;Regular;Ruim;Ruim;Ruim;Péssimo;Péssimo;Ruim;Péssimo;Investir mais em saneamento;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
19;Zona Rural;Manuela ;Sim;Distrito Negras;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Claudiano Martins;Boa;Aprova;Boa;Ótima;Abastecimento de Água;Regular;Bom;Ruim;Bom;Regular;Bom;Regular;Bom;Regular;Regular;Ruim;Recuperação e mais Praças;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
152;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Claudiano Martins;Boa;Aprova;Regular;Boa;Geração de Emprego e Renda;Bom;Bom;Regular;Regular;Regular;Regular;Regular;Regular;Regular;Regular;Bom;Atrair empresas e gerar empregos;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
191;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Claudiano Martins;Ótima;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Ruim;Péssimo;Bom;Bom;Bom;Ruim;Ruim;Bom;Atrair empresas e gerar empregos;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
201;Zona Urbana;Luís ;Sim;Centro;Masculino;60 anos ou mais;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Claudiano Martins;Ótima;Aprova;Ruim;Péssima;Limpeza;Bom;Bom;Bom;Ruim;Ruim;Ótimo;Ótimo;Bom;Regular;Regular;Bom;Calçamento de Ruas;Nenhum;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
202;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Claudiano Martins;Regular;Aprova;Ruim;Péssima;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Regular;Ruim;Bom;Ótimo;Bom;Ótimo;Ótimo;Bom;Calçamento de Ruas;Não sabe/Não respondeu;Poderia votar;Não votaria de jeito nenhum;Poderia votar;Depende do candidato
237;Zona Urbana;Manuela ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Claudiano Martins;Péssima;Desaprova;Ótima;Ótima;Transporte Escolar;Bom;Ótimo;Péssimo;Péssimo;Péssimo;Regular;Bom;Péssimo;Péssimo;Ruim;Regular;Investir mais em saneamento;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
299;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Até a faculdade ou mais;Acima de 5 salários mínimos (acima de R$7.060,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Claudiano Martins;Ótima;Aprova;Ruim;Regular;Limpeza;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Ótimo;Atrair empresas e gerar empregos;Dindo;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
60;Zona Urbana;Luciana ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Eraldo Pequeno;Regular;Aprova;Regular;Regular;Administração;Regular;Bom;Ótimo;Ótimo;Bom;Ótimo;Regular;Bom;Regular;Regular;Regular;Recuperar e construir escolas;Eraldo Pequeno;Votaria com certeza;Poderia votar;Poderia votar;Sim, votaria
